segment_id,emotion
dialogues_phi4-14B/home_72_5/segments/004_LLM2_neutral.wav,neutral
dialogues_qwen2.5-32B/photography_27_5/segments/004_LLM2_happy.wav,happy
dialogues_llama3-8B_gemma3-4B/sports_19_5/segments/003_LLM1_happy.wav,happy
dialogues_qwen2.5-72B/science_47_10/segments/008_LLM2_surprised.wav,surprised
dialogues_qwen2.5-32B/fitness_28_9/segments/002_LLM2_fearful.wav,fearful
dialogues_gemma3-27B/news_83_9/segments/001_LLM1_angry.wav,angry
dialogues_qwen2.5-32B/art_22_6/segments/003_LLM1_surprised.wav,surprised
dialogues_phi4-14B_gemma3-27B/gaming_45_8/segments/007_LLM1_neutral.wav,neutral
dialogues_gemma3-27B/shopping_10_8/segments/006_LLM2_neutral.wav,neutral
dialogues_llama3-70B/finance_88_7/segments/001_LLM1_fearful.wav,fearful
dialogues_llama3-70B_qwen2.5-72B/health_95_5/segments/003_LLM1_neutral.wav,neutral
dialogues_qwen2.5-32B_gemma3-27B/home_62_10/segments/007_LLM1_happy.wav,happy
dialogues_qwen2.5-32B_phi4-14B/makeup_67_8/segments/006_LLM2_calm.wav,calm
dialogues_qwen2.5-32B/travel_81_5/segments/001_LLM1_calm.wav,calm
dialogues_gemma3-27B/nature_93_3/segments/002_LLM2_happy.wav,happy
dialogues_qwen2.5-32B/events_38_7/segments/004_LLM2_happy.wav,happy
dialogues_qwen2.5-32B_gemma3-27B/movies_43_10/segments/005_LLM1_angry.wav,angry
dialogues_gemma3-27B/fitness_3_10/segments/001_LLM1_angry.wav,angry
dialogues_llama3-8B_gemma3-4B/education_31_4/segments/001_LLM1_angry.wav,angry
dialogues_llama3-70B_qwen2.5-72B/philosophy_47_10/segments/004_LLM2_surprised.wav,surprised
dialogues_cohere7B_gemma3-4B/relationships_40_5/segments/002_LLM2_fearful.wav,fearful
dialogues_llama3-8B_cohere7B/philosophy_57_4/segments/002_LLM2_fearful.wav,fearful
dialogues_llama3-8B_gemma3-4B/politics_40_10/segments/007_LLM1_angry.wav,angry
dialogues_qwen2.5-32B_phi4-14B/spirituality_76_3/segments/002_LLM2_neutral.wav,neutral
dialogues_qwen2.5-72B/books_82_9/segments/007_LLM1_sad.wav,sad
dialogues_phi4-14B/politics_77_3/segments/002_LLM2_disgust.wav,disgust
dialogues_llama3-8B_cohere7B/health_44_6/segments/002_LLM2_calm.wav,calm
dialogues_phi4-14B/finance_98_4/segments/001_LLM1_surprised.wav,surprised
dialogues_qwen2.5-32B_phi4-14B/relationships_85_9/segments/001_LLM1_sad.wav,sad
dialogues_llama3-70B/spirituality_76_7/segments/005_LLM1_calm.wav,calm
dialogues_qwen2.5-72B/finance_43_9/segments/006_LLM2_calm.wav,calm
dialogues_qwen2.5-72B/finance_15_4/segments/001_LLM1_fearful.wav,fearful
dialogues_qwen2.5-32B/coding_56_9/segments/005_LLM1_neutral.wav,neutral
dialogues_cohere7B_gemma3-4B/movies_6_8/segments/001_LLM1_disgust.wav,disgust
dialogues_cohere7B/social_media_46_5/segments/002_LLM2_calm.wav,calm
dialogues_phi4-14B_gemma3-27B/finance_6_8/segments/003_LLM1_sad.wav,sad
dialogues_qwen2.5-72B/news_32_5/segments/004_LLM2_happy.wav,happy
dialogues_llama3-70B_qwen2.5-72B/books_28_4/segments/002_LLM2_sad.wav,sad
dialogues_llama3-8B_cohere7B/finance_39_5/segments/004_LLM2_fearful.wav,fearful
dialogues_phi4-14B/hobbies_57_3/segments/002_LLM2_surprised.wav,surprised
dialogues_phi4-14B/social_media_47_7/segments/004_LLM2_calm.wav,calm
dialogues_llama3-70B/work_8_8/segments/006_LLM2_fearful.wav,fearful
dialogues_llama3-70B/coding_6_9/segments/006_LLM2_happy.wav,happy
dialogues_cohere7B_gemma3-4B/politics_78_5/segments/001_LLM1_fearful.wav,fearful
dialogues_gemma3-27B/food_55_7/segments/007_LLM1_neutral.wav,neutral
dialogues_cohere7B_gemma3-4B/movies_44_4/segments/001_LLM1_disgust.wav,disgust
dialogues_qwen2.5-72B/social_media_43_9/segments/007_LLM1_fearful.wav,fearful
dialogues_llama3-70B_qwen2.5-72B/art_69_8/segments/003_LLM1_happy.wav,happy
dialogues_qwen2.5-32B_gemma3-27B/food_42_9/segments/001_LLM1_happy.wav,happy
dialogues_llama3-70B/food_86_3/segments/001_LLM1_sad.wav,sad
dialogues_llama3-70B_qwen2.5-72B/technology_10_5/segments/005_LLM1_surprised.wav,surprised
